R,G,B,ColorName,
93,138,168,Air Force Blue (Raf),#5d8aa8
0,48,143,Air Force Blue (Usaf),#00308f
114,160,193,Air Superiority Blue,#72a0c1
163,38,56,Alabama Crimson,#a32638
240,248,255,Alice Blue,#f0f8ff
227,38,54,Alizarin Crimson,#e32636
196,98,16,Alloy Orange,#c46210
239,222,205,Almond,#efdecd
229,43,80,Amaranth,#e52b50
255,191,0,Amber,#ffbf00
255,126,0,Amber (Sae/Ece),#ff7e00
255,3,62,American Rose,#ff033e
153,102,204,Amethyst,#96c
164,198,57,Android Green,#a4c639
242,243,244,Anti-Flash White,#f2f3f4
205,149,117,Antique Brass,#cd9575
145,92,131,Antique Fuchsia,#915c83
132,27,45,Antique Ruby,#841b2d
250,235,215,Antique White,#faebd7
0,128,0,Ao (English),#008000
141,182,0,Apple Green,#8db600
251,206,177,Apricot,#fbceb1
0,255,255,Aqua,#0ff
127,255,212,Aquamarine,#7fffd4
75,83,32,Army Green,#4b5320
59,68,75,Arsenic,#3b444b
233,214,107,Arylide Yellow,#e9d66b
178,190,181,Ash Grey,#b2beb5
135,169,107,Asparagus,#87a96b
255,153,102,Atomic Tangerine,#f96
165,42,42,Auburn,#a52a2a
253,238,0,Aureolin,#fdee00
110,127,128,Aurometalsaurus,#6e7f80
86,130,3,Avocado,#568203
0,127,255,Azure,#007fff
240,255,255,Azure Mist/Web,#f0ffff
137,207,240,Baby Blue,#89cff0
161,202,241,Baby Blue Eyes,#a1caf1
244,194,194,Baby Pink,#f4c2c2
33,171,205,Ball Blue,#21abcd
250,231,181,Banana Mania,#fae7b5
255,225,53,Banana Yellow,#ffe135
124,10,2,Barn Red,#7c0a02
132,132,130,Battleship Grey,#848482
152,119,123,Bazaar,#98777b
188,212,230,Beau Blue,#bcd4e6
159,129,112,Beaver,#9f8170
245,245,220,Beige,#f5f5dc
156,37,66,Big Dip O’Ruby,#9c2542
255,228,196,Bisque,#ffe4c4
61,43,31,Bistre,#3d2b1f
254,111,94,Bittersweet,#fe6f5e
191,79,81,Bittersweet Shimmer,#bf4f51
0,0,0,Black,#000
61,12,2,Black Bean,#3d0c02
37,53,41,Black Leather Jacket,#253529
59,60,54,Black Olive,#3b3c36
255,235,205,Blanched Almond,#ffebcd
165,113,100,Blast-Off Bronze,#a57164
49,140,231,Bleu De France,#318ce7
172,229,238,Blizzard Blue,#ace5ee
250,240,190,Blond,#faf0be
0,0,255,Blue,#00f
162,162,208,Blue Bell,#a2a2d0
31,117,254,Blue (Crayola),#1f75fe
102,153,204,Blue Gray,#69c
13,152,186,Blue-Green,#0d98ba
0,147,175,Blue (Munsell),#0093af
0,135,189,Blue (Ncs),#0087bd
51,51,153,Blue (Pigment),#339
2,71,254,Blue (Ryb),#0247fe
18,97,128,Blue Sapphire,#126180
138,43,226,Blue-Violet,#8a2be2
222,93,131,Blush,#de5d83
121,68,59,Bole,#79443b
0,149,182,Bondi Blue,#0095b6
227,218,201,Bone,#e3dac9
204,0,0,Boston University Red,#c00
0,106,78,Bottle Green,#006a4e
135,50,96,Boysenberry,#873260
0,112,255,Brandeis Blue,#0070ff
181,166,66,Brass,#b5a642
203,65,84,Brick Red,#cb4154
29,172,214,Bright Cerulean,#1dacd6
102,255,0,Bright Green,#6f0
191,148,228,Bright Lavender,#bf94e4
195,33,72,Bright Maroon,#c32148
255,0,127,Bright Pink,#ff007f
8,232,222,Bright Turquoise,#08e8de
209,159,232,Bright Ube,#d19fe8
244,187,255,Brilliant Lavender,#f4bbff
255,85,163,Brilliant Rose,#ff55a3
251,96,127,Brink Pink,#fb607f
0,66,37,British Racing Green,#004225
205,127,50,Bronze,#cd7f32
150,75,0,Brown (Traditional),#964b00
165,42,42,Brown (Web),#a52a2a
255,193,204,Bubble Gum,#ffc1cc
231,254,255,Bubbles,#e7feff
240,220,130,Buff,#f0dc82
72,6,7,Bulgarian Rose,#480607
128,0,32,Burgundy,#800020
222,184,135,Burlywood,#deb887
204,85,0,Burnt Orange,#c50
233,116,81,Burnt Sienna,#e97451
138,51,36,Burnt Umber,#8a3324
189,51,164,Byzantine,#bd33a4
112,41,99,Byzantium,#702963
83,104,114,Cadet,#536872
95,158,160,Cadet Blue,#5f9ea0
145,163,176,Cadet Grey,#91a3b0
0,107,60,Cadmium Green,#006b3c
237,135,45,Cadmium Orange,#ed872d
227,0,34,Cadmium Red,#e30022
255,246,0,Cadmium Yellow,#fff600
166,123,91,Café Au Lait,#a67b5b
75,54,33,Café Noir,#4b3621
30,77,43,Cal Poly Green,#1e4d2b
163,193,173,Cambridge Blue,#a3c1ad
193,154,107,Camel,#c19a6b
239,187,204,Cameo Pink,#efbbcc
120,134,107,Camouflage Green,#78866b
255,239,0,Canary Yellow,#ffef00
255,8,0,Candy Apple Red,#ff0800
228,113,122,Candy Pink,#e4717a
0,191,255,Capri,#00bfff
89,39,32,Caput Mortuum,#592720
196,30,58,Cardinal,#c41e3a
0,204,153,Caribbean Green,#0c9
150,0,24,Carmine,#960018
215,0,64,Carmine (M&P),#d70040
235,76,66,Carmine Pink,#eb4c42
255,0,56,Carmine Red,#ff0038
255,166,201,Carnation Pink,#ffa6c9
179,27,27,Carnelian,#b31b1b
153,186,221,Carolina Blue,#99badd
237,145,33,Carrot Orange,#ed9121
6,42,120,Catalina Blue,#062a78
146,161,207,Ceil,#92a1cf
172,225,175,Celadon,#ace1af
0,123,167,Celadon Blue,#007ba7
47,132,124,Celadon Green,#2f847c
178,255,255,Celeste (Colour),#b2ffff
73,151,208,Celestial Blue,#4997d0
222,49,99,Cerise,#de3163
236,59,131,Cerise Pink,#ec3b83
0,123,167,Cerulean,#007ba7
42,82,190,Cerulean Blue,#2a52be
109,155,195,Cerulean Frost,#6d9bc3
0,122,165,Cg Blue,#007aa5
224,60,49,Cg Red,#e03c31
160,120,90,Chamoisee,#a0785a
250,214,165,Champagne,#fad6a5
54,69,79,Charcoal,#36454f
230,143,172,Charm Pink,#e68fac
223,255,0,Chartreuse (Traditional),#dfff00
127,255,0,Chartreuse (Web),#7fff00
222,49,99,Cherry,#de3163
255,183,197,Cherry Blossom Pink,#ffb7c5
205,92,92,Chestnut,#cd5c5c
222,111,161,China Pink,#de6fa1
168,81,110,China Rose,#a8516e
170,56,30,Chinese Red,#aa381e
123,63,0,Chocolate (Traditional),#7b3f00
210,105,30,Chocolate (Web),#d2691e
255,167,0,Chrome Yellow,#ffa700
152,129,123,Cinereous,#98817b
227,66,52,Cinnabar,#e34234
210,105,30,Cinnamon,#d2691e
228,208,10,Citrine,#e4d00a
251,204,231,Classic Rose,#fbcce7
0,71,171,Cobalt,#0047ab
210,105,30,Cocoa Brown,#d2691e
111,78,55,Coffee,#6f4e37
155,221,255,Columbia Blue,#9bddff
248,131,121,Congo Pink,#f88379
0,46,99,Cool Black,#002e63
140,146,172,Cool Grey,#8c92ac
184,115,51,Copper,#b87333
218,138,103,Copper (Crayola),#da8a67
173,111,105,Copper Penny,#ad6f69
203,109,81,Copper Red,#cb6d51
153,102,102,Copper Rose,#966
255,56,0,Coquelicot,#ff3800
255,127,80,Coral,#ff7f50
248,131,121,Coral Pink,#f88379
255,64,64,Coral Red,#ff4040
137,63,69,Cordovan,#893f45
